GHGRP ID,Average Emission Rate over all overpasses (kg/h),Average Uncertainty Rate over all overpasses (kg/h),Average reported GHGRP emissions (METRIC TONS CO2e),Number of days landfill was flown,Number of days where point sources were detected 
1000291,92.2414162,52.0378383,49435.0,1,1
1001633,192.682456166666,42.9570920166666,19703.0,6,1
1001844,328.345287933333,96.7500544333333,21671.0,3,1
1002035,670.962317,524.335444,49635.0,1,1
1002104,275.713333333333,176.589999999999,113561.0,3,1
1002106,37.85,21.99,96785.0,1,1
1002107,710.937395849448,273.434953974599,322871.0,22,20
1002236,1886.21290125,968.75566155,51909.0,3,3
1002276,260.190651,96.59039792,193834.0,3,3
1002320,137.471478447916,61.4281879708333,397512.666666666,16,10
1002476,,,54121.0,1,1
1002478,3230.28587058333,1015.90732950833,108185.0,7,7
1002634,24.0491666666666,12.0566666666666,54726.6666666666,6,1
1002646,2446.61926463636,695.46787845,53561.0,11,9
1002831,68.4509376,19.6601485,55091.0,1,1
1002896,139.513333333333,33.7133333333333,47405.0,1,1
1002899,2149.45342,574.630416,111810.0,1,1
1002951,187.320379,124.802808,149185.0,1,1
1002992,56.4449632777777,15.7280811388888,150437.0,18,3
1003099,2848.25797453333,756.762204766666,160698.0,3,3
1003102,1212.3696865,389.313477433333,88191.0,3,2
1003104,,,17872.0,2,1
1003198,11.52438,4.75535628666666,102957.5,15,1
1003456,398.8810855,153.77756875,21432.0,2,1
1003471,42.8537335249999,22.381771275,77594.0,2,1
1003481,512.23907245,209.1287996,111152.0,2,2
1003544,1565.271108,285.1153635,96199.0,1,1
1003582,2091.76525449999,503.0798593875,168003.0,4,4
1003601,1118.097205,263.397918,204739.0,4,2
1003619,,,58437.0,1,1
1003646,1621.05297166666,675.351330166666,59715.0,3,2
1003679,710.149631266407,264.886568703867,350088.333333333,41,29
1003686,347.672250022222,99.4322064555555,83407.0,3,1
1003687,113.5964295,33.40203095,121645.0,4,2
1003695,161.111036,58.1662136,135516.0,1,1
1003710,441.6530765,299.5734725,772983.0,6,3
1003732,1046.25536366666,511.042978833333,294118.0,3,2
1003818,108.7629573,48.8449366499999,55090.0,2,2
1003911,105.438036318518,49.1191639092592,96697.0,9,7
1004010,640.24663837037,283.993286255555,97119.75,9,7
1004011,598.31459826455,204.033034788994,132526.666666666,15,13
1004014,3076.77665530555,1021.76527096111,210821.0,10,10
1004037,320.705370583333,138.023381778636,176900.25,6,5
1004118,4686.220194,1914.16389,824568.0,1,1
1004245,449.7286471,145.361387725,452070.0,8,4
1004256,2879.80195113333,820.389723753333,103546.0,8,8
1004399,3321.2422862,939.433837975,634660.0,2,2
1004406,24.2764755,8.096333551,29182.5,5,1
1004483,,,38898.0,1,1
1004487,3535.85779217777,1194.89988528444,108711.0,7,7
1004497,620.82229171875,275.964119971875,146825.0,4,3
1004548,81.6530459615384,21.0136924358974,16555.8,13,6
1004743,408.777291603036,163.356485232123,50041.4,22,16
1004815,,,326803.0,1,1
1004831,1687.1834,741.192551,85185.0,3,3
1004848,719.268238,202.4549404,116799.0,2,1
1004850,1136.043002,256.361865466666,444195.0,3,3
1004856,,,233273.0,1,1
1004913,2513.4876,798.120062,51016.0,1,1
1005042,145.711665499999,34.40898986375,58360.0,8,3
1005493,1635.85804833333,570.493404833333,403100.0,6,3
1005638,2273.687277,745.593017625,307362.0,7,7
1005717,3992.33489038095,1617.07985927619,242000.0,7,4
1006044,28.4907501,12.571319286,39635.0,5,2
1006064,490.495661,197.405843,40258.0,1,1
1006103,,,131721.0,2,1
1006179,1943.68466646659,822.86045181887,149911.8,11,11
1006261,602.62122,107.598954,52506.0,1,1
1006328,1649.2332486574,580.684989333333,101979.0,6,5
1006383,3608.49224,1061.83012,227170.0,1,1
1006777,1289.69642,305.456572,573401.0,4,3
1006790,1709.51402666666,386.740347555555,36608.0,9,8
1006859,,,467265.0,1,1
1006899,856.6418282,156.4343002,258695.5,5,2
1007040,103.417831837337,27.0031428902597,31875.1666666666,14,6
1007044,453.981672233333,260.353244866666,58736.0,3,2
1007082,588.4039482,184.1303172,148554.0,10,6
1007112,1192.71735562152,537.181168671428,136562.4,11,9
1007128,69.0933333333333,25.3166666666666,56322.0,1,1
1007219,,,57200.0,2,1
1007345,370.702893825,144.286604820187,83732.25,10,9
1007521,62.286721,14.772416,179350.0,2,1
1007558,304.0877495,89.146378925,3420.0,1,2
1007607,10.3709523809523,10.5438095238095,29843.3333333333,7,1
1007668,135.211451192307,42.5611976666666,111375.75,10,4
1007684,,,56197.0,4,1
1007691,373.8530615,199.96314995,5897.0,1,1
1007693,497.855764319444,237.832711524999,114592.666666666,12,8
1007699,357.628336603018,147.477361901226,165081.75,11,8
1007709,62.3357922199999,22.537565203,29311.0,5,3
1007710,128.11,33.33,40646.0,1,1
1007745,287.028098,200.981813,204869.0,4,4
1007794,43.3099999999999,16.3477777777777,46916.5,3,1
1007797,365.915908,117.680544,29280.0,1,1
1007800,1265.03023099999,401.427564046666,293442.5,5,3
1007801,,,143376.0,1,1
1007816,28.5740783333333,17.938948,209009.0,6,1
1007817,88.5677833333333,44.3195665666666,88279.5,4,2
1007837,30.064,18.1175,86753.0,4,1
1007857,2170.008895,669.19959675,163785.0,2,2
1007880,52.643011,18.9351320571428,124618.0,7,2
1007951,43.7666666666666,15.2305555555555,15700.6666666666,18,1
1007969,3206.86709639702,1254.89067656488,115258.0,4,4
1008034,62.742798,20.0839915,213862.0,4,2
1008215,4770.91817,1437.36713,71845.0,1,1
1010207,28.315,8.44,545.0,2,1
1010392,275.473015416666,129.929855833333,79619.0,8,5
