date,time_UTC,lat,lon,source_rate_t/h,uncertainty
20230101,07:52:41,23.82,90.1,48,14
20230101,07:54:27,28.52,77.35,24,9
20230101,07:56:19,34.02,71.66,41,24
20230101,09:34:48,25.24,55.5,33,15
20230101,09:38:10,37.63,61.44,88,37
20230101,09:38:30,38.67,54.32,64,39
20230101,12:59:35,31.6,6.06,21,7
20230101,19:42:35,20.46,-97.61,14,7
20230102,07:33:42,23.83,90.37,60,22
20230102,09:19:06,37.44,60.49,13,8
20230102,09:19:10,37.94,62.57,178,65
20230102,09:19:46,38.67,54.27,49,15
20230102,10:58:55,30.82,32.19,100,37
20230102,11:01:56,41.23,28.16,26,10
20230103,05:35:49,32.86,116.49,18,5
20230103,05:36:14,33.84,113.29,41,18
20230103,05:36:41,35.48,112.65,60,24
20230103,05:37:03,35.87,109.03,11,5
20230103,05:37:12,36.65,109.94,25,14
20230103,05:36:52,36.34,112.8,118,43
20230103,05:37:09,35.78,107.87,24,8
20230103,07:14:42,23.57,90.89,50,16
20230103,07:15:41,27.41,95.38,10,3
20230103,09:01:03,38.48,54.16,30,11
20230104,13:46:21,40.3,-3.59,8,5
20230104,18:29:30,-33.86,-58.89,46,17
20230105,05:00:28,38.92,110.93,71,25
20230105,06:38:04,27.25,95.21,30,13
20230105,08:19:10,26.94,75.78,19,9
20230105,08:21:15,34.08,71.59,20,13
20230105,10:03:29,34.85,40.95,26,12
20230105,13:27:25,40.27,-3.61,8,6
20230106,06:19:31,27.28,95.23,31,13
20230106,08:00:41,28.42,77.27,32,10
20230106,13:08:33,40.28,-4.04,19,5
20230106,19:51:07,28.01,-101.47,14,5
20230106,19:52:26,32.27,-104.22,91,36
